"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\README.md", "Markdown", 0, 0, 0, 0, 55, 0, 6, 61
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\customize.css", "CSS", 0, 0, 0, 321, 0, 9, 76, 406
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\customize.html", "HTML", 0, 92, 0, 0, 0, 27, 5, 124
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\customize.js", "JavaScript", 128, 0, 0, 0, 0, 23, 51, 202
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\index.css", "CSS", 0, 0, 0, 414, 0, 11, 91, 516
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\index.html", "HTML", 0, 37, 0, 0, 0, 1, 3, 41
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\index.js", "JavaScript", 56, 0, 0, 0, 0, 10, 17, 83
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\indexeddb.js", "JavaScript", 852, 0, 0, 0, 0, 176, 280, 1308
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\intro.css", "CSS", 0, 0, 0, 164, 0, 3, 40, 207
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\intro.html", "HTML", 0, 220, 0, 0, 0, 43, 7, 270
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\intro.js", "JavaScript", 9, 0, 0, 0, 0, 1, 3, 13
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\package-lock.json", "JSON", 0, 0, 2017, 0, 0, 0, 1, 2018
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\package.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 15
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\test.js", "JavaScript", 6, 0, 0, 0, 0, 2, 3, 11
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\users.css", "CSS", 0, 0, 0, 392, 0, 11, 67, 470
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\users.html", "HTML", 0, 198, 0, 0, 0, 60, 9, 267
"c:\Freelancing Projects\twodiamondfit\chatbot\csc\users.js", "JavaScript", 23, 0, 0, 0, 0, 5, 10, 38
"Total", "-", 1074, 547, 2032, 1291, 55, 382, 669, 6050
